Using Techfile: /tmp/pohan//sky130A/libs.tech/klayout/sky130A.lyt
Using layout file: /project/openlane/user_project_wrapper/runs/user_project_wrapper/results/klayout/user_project_wrapper.xor.gds
[INFO] Reading tech file: /tmp/pohan//sky130A/libs.tech/klayout/sky130A.lyt
[INFO] Reading Layout file: /project/openlane/user_project_wrapper/runs/user_project_wrapper/results/klayout/user_project_wrapper.xor.gds
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=356460854, record number=27533094, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=356579542, record number=27533289, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=356728550, record number=27534209, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=356814278, record number=27534509, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=356908102, record number=27535399, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=356993830, record number=27535699, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=357087654, record number=27536589, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=357173382, record number=27536889, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=357284198, record number=27538079, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=357402886, record number=27538274, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=357580646, record number=27539544, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=357666374, record number=27539844, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=357760198, record number=27540734, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=357845926, record number=27541034, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=357939750, record number=27541924, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=358025478, record number=27542224, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=358331254, record number=27552949, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=358401990, record number=27553139, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=358601238, record number=27560114, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=358653878, record number=27560159, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=358869270, record number=27566649, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=358925910, record number=27566709, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=359055446, record number=27568084, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=359174502, record number=27568284, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=359323558, record number=27569219, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=359408998, record number=27569519, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=359503206, record number=27570424, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=359588646, record number=27570724, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=359682854, record number=27571629, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=359768294, record number=27571929, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=359882422, record number=27573224, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=360001078, record number=27573424, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=360150134, record number=27574359, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=360235574, record number=27574659, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=360329782, record number=27575564, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=360415222, record number=27575864, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=360509430, record number=27576769, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=360594870, record number=27577069, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=360712150, record number=27578479, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=360830806, record number=27578679, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=360987942, record number=27579614, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=361073382, record number=27579914, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=361167494, record number=27580814, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=361252934, record number=27581114, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=361347046, record number=27582014, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=361432486, record number=27582314, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=361586806, record number=27583954, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=361705462, record number=27584154, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=361862598, record number=27585089, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=361948038, record number=27585389, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362042150, record number=27586289, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362127590, record number=27586589, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362221702, record number=27587489, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362307142, record number=27587789, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362452934, record number=27589359, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362571590, record number=27589559, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362728630, record number=27590489, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362814070, record number=27590789, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362908086, record number=27591684, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=362993526, record number=27591984, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=363087542, record number=27592879, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=363172982, record number=27593179, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=363789686, record number=27617959, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=363908342, record number=27618159, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=364057478, record number=27619099, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=364142918, record number=27619399, cell=XOR)
